Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"S. Murrar","Machine Learning Algorithms for Transportation Mode Prediction: A Comparative Analysis",2024,"Informatica (Slovenia)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85191358957&origin=inward",5,"2024-06-23 22:41:15","Article","10.31449/INF.V48I6.5234","0350-5596","https://api.elsevier.com/content/abstract/scopus_id/85191358957",48,6,117,130,0,0.00,0,1,1,"","",""
18,"F. Alhaj","Improving Arabic Cognitive Distortion Classification in Twitter using BERTopic",2022,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124018308&origin=inward",1,"2024-06-23 22:41:15","Article","10.14569/IJACSA.2022.0130199","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85124018308",13,1,854,860,18,9.00,18,1,2,"","",""
1,"F. Alhaj","Reconstructing Colored Strip-Shredded Documents based on the Hungarians Algorithm",2019,"2019 2nd International Conference on New Trends in Computing Sciences, ICTCS 2019 - Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077208135&origin=inward",2,"2024-06-23 22:41:15","Conference Paper","10.1109/ICTCS.2019.8923048","","https://api.elsevier.com/content/abstract/scopus_id/85077208135",,,,,1,0.20,1,1,5,"","",""
1,"A. Hudaib","Self-organizing maps for agile requirements prioritization",2019,"2019 2nd International Conference on New Trends in Computing Sciences, ICTCS 2019 - Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077187740&origin=inward",3,"2024-06-23 22:41:15","Conference Paper","10.1109/ICTCS.2019.8923075","","https://api.elsevier.com/content/abstract/scopus_id/85077187740",,,,,1,0.20,1,1,5,"","",""
1,"F. Alhaj","Detecting DDI Using Ontology: Drug Mechanism of Action",2019,"2019 IEEE Jordan International Joint Conference on Electrical Engineering and Information Technology, JEEIT 2019 - Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067107379&origin=inward",4,"2024-06-23 22:41:15","Conference Paper","10.1109/JEEIT.2019.8717527","","https://api.elsevier.com/content/abstract/scopus_id/85067107379",,,179,185,1,0.20,1,1,5,"","",""
