Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"M.A. Alsharaiah","Neural Network Prediction Model to Explore Complex Nonlinear Behavior in Dynamic Biological Network",2022,"International Journal of Interactive Mobile Technologies","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133022963&origin=inward",2,"2024-06-25 18:08:22","Article","10.3991/ijim.v16i12.30467","1865-7923","https://api.elsevier.com/content/abstract/scopus_id/85133022963",16,12,32,51,3,1.50,3,1,2,"","",""
2,"L. Alzboon","Crazy Truth-Teller–Liar Puzzles",2022,"Axiomathes","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103167052&origin=inward",5,"2024-06-25 18:08:22","Article","10.1007/s10516-021-09546-7","1122-1151","https://api.elsevier.com/content/abstract/scopus_id/85103167052",32,4,639,657,2,1.00,2,1,2,"","",""
0,"L. Alzboon","A Comparison of Various Extensions of Strong Truthteller and Strong Liar Puzzles (Mutes and Crazies)",2022,"Axioms","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133641615&origin=inward",6,"2024-06-25 18:08:22","Article","10.3390/axioms11070322","2075-1680","https://api.elsevier.com/content/abstract/scopus_id/85133641615",11,7,,,0,0.00,0,1,2,"","",""
4,"L. Alzboon","Truth-teller-liar puzzles with self-reference",2020,"Mathematics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85080127546&origin=inward",1,"2024-06-25 18:08:22","Article","10.3390/math8020190","2227-7390","https://api.elsevier.com/content/abstract/scopus_id/85080127546",8,2,,,4,1.00,4,1,4,"","",""
3,"L. Alzboon","Counting the number of shortest chamfer paths in the square grid",2020,"Acta Polytechnica Hungarica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088804798&origin=inward",3,"2024-06-25 18:08:22","Article","10.12700/APH.17.4.2020.4.4","1785-8860","https://api.elsevier.com/content/abstract/scopus_id/85088804798",17,4,67,87,3,0.75,3,1,4,"","",""
3,"L. Alzboon","On the number of weighted shortest paths in the square grid",2017,"INES 2017 - IEEE 21st International Conference on Intelligent Engineering Systems, Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85043502174&origin=inward",4,"2024-06-25 18:08:22","Conference Paper","10.1109/INES.2017.8118533","","https://api.elsevier.com/content/abstract/scopus_id/85043502174",2017,,83,90,3,0.43,3,1,7,"","",""
