Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"M. Azzeh","A soft computing approach for software defect density prediction",2024,"Journal of Software: Evolution and Process","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85150641940&origin=inward",8,"2024-06-23 22:59:04","Article","10.1002/smr.2553","2047-7481","https://api.elsevier.com/content/abstract/scopus_id/85150641940",36,4,,,1,1.00,1,1,1,"","",""
19,"S. Hameed","An optimized case-based software project effort estimation using genetic algorithm",2023,"Information and Software Technology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0950584922001975","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85139403636&origin=inward",2,"2024-06-23 22:59:04","Article","10.1016/j.infsof.2022.107088","0950-5849","https://api.elsevier.com/content/abstract/scopus_id/85139403636",153,,,,19,19.00,19,1,1,"","",""
16,"M. Azzeh","Examining the performance of kernel methods for software defect prediction based on support vector machine",2023,"Science of Computer Programming","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167642322001496","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145650264&origin=inward",3,"2024-06-23 22:59:04","Article","10.1016/j.scico.2022.102916","0167-6423","https://api.elsevier.com/content/abstract/scopus_id/85145650264",226,,,,16,16.00,16,1,1,"","",""
0,"Y. Alqasrawi","Analyzing the Role of Class Rebalancing Techniques in Software Defect Prediction",2023,"International Journal of Information Technology and Decision Making","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168967510&origin=inward",9,"2024-06-23 22:59:04","Article","10.1142/S0219622023500724","0219-6220","https://api.elsevier.com/content/abstract/scopus_id/85168967510",,,,,0,0.00,0,1,1,"","",""
14,"Y. Alqasrawi","Locally weighted regression with different kernel smoothers for software effort estimation",2022,"Science of Computer Programming","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167642321001374","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118477013&origin=inward",4,"2024-06-23 22:59:04","Article","10.1016/j.scico.2021.102744","0167-6423","https://api.elsevier.com/content/abstract/scopus_id/85118477013",214,,,,14,7.00,14,1,2,"","",""
4,"M. Azzeh","On the value of project productivity for early effort estimation",2022,"Science of Computer Programming","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167642322000521","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129569354&origin=inward",6,"2024-06-23 22:59:04","Article","10.1016/j.scico.2022.102819","0167-6423","https://api.elsevier.com/content/abstract/scopus_id/85129569354",219,,,,4,2.00,4,1,2,"","",""
2,"Y. Elsheikh","On obtaining a stable vote ranking methodology for implementing e-government strategies",2022,"Journal of King Saud University - Computer and Information Sciences","","https://api.elsevier.com/content/article/eid/1-s2.0-S1319157820305760","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099523498&origin=inward",7,"2024-06-23 22:59:04","Article","10.1016/j.jksuci.2020.11.035","1319-1578","https://api.elsevier.com/content/abstract/scopus_id/85099523498",34,6,3379,3392,2,1.00,2,1,2,"","",""
0,"S. Al-omari","A New Learning to Rank Approach for Software Defect Prediction",2022,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85137169173&origin=inward",10,"2024-06-23 22:59:04","Article","10.14569/IJACSA.2022.0130893","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85137169173",13,8,805,812,0,0.00,0,1,2,"","",""
6,"O. Sami","The Role of Data Pre-processing Techniques in Improving Machine Learning Accuracy for Predicting Coronary Heart Disease",2021,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109164851&origin=inward",5,"2024-06-23 22:59:04","Article","10.14569/IJACSA.2021.0120695","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85109164851",12,6,816,824,6,2.00,6,1,3,"","",""
61,"A.L. Kor","e-Government in Jordan: Challenges and opportunities",2008,"Transforming Government: People, Process and Policy","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84992963241&origin=inward",1,"2024-06-23 22:59:04","Article","10.1108/17506160810876176","1750-6166","https://api.elsevier.com/content/abstract/scopus_id/84992963241",2,2,83,103,61,3.81,61,1,16,"","",""
