Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"S. Selvaraj","New algebraic approach towards interval-valued neutrosophic cubic vague set based on subbisemiring over bisemiring",2024,"International Journal of Neutrosophic Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85190421424&origin=inward",5,"2024-06-23 23:07:14","Article","10.54216/IJNS.230421","2692-6148","https://api.elsevier.com/content/abstract/scopus_id/85190421424",23,4,277,291,0,0.00,0,1,1,"","",""
26,"A. Amourah","A Generalization of Gegenbauer Polynomials and Bi-Univalent Functions",2023,"Axioms","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85148851404&origin=inward",1,"2024-06-23 23:07:14","Article","10.3390/axioms12020128","2075-1680","https://api.elsevier.com/content/abstract/scopus_id/85148851404",12,2,,,26,26.00,26,1,1,"","",""
3,"T. Hamadneh","On Chaos and Complexity Analysis for a New Sine-Based Memristor Map with Commensurate and Incommensurate Fractional Orders",2023,"Mathematics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85175036940&origin=inward",2,"2024-06-23 23:07:14","Article","10.3390/math11204308","2227-7390","https://api.elsevier.com/content/abstract/scopus_id/85175036940",11,20,,,3,3.00,3,1,1,"","",""
1,"M. Abualhomos","Bifurcation, Hidden Chaos, Entropy and Control in Hénon-Based Fractional Memristor Map with Commensurate and Incommensurate Orders",2023,"Mathematics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85176429511&origin=inward",3,"2024-06-23 23:07:14","Article","10.3390/math11194166","2227-7390","https://api.elsevier.com/content/abstract/scopus_id/85176429511",11,19,,,1,1.00,1,1,1,"","",""
1,"T. Hamadneh","The New Four-Dimensional Fractional Chaotic Map with Constant and Variable-Order: Chaos, Control and Synchronization",2023,"Mathematics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85175076141&origin=inward",4,"2024-06-23 23:07:14","Article","10.3390/math11204332","2227-7390","https://api.elsevier.com/content/abstract/scopus_id/85175076141",11,20,,,1,1.00,1,1,1,"","",""
0,"O. Alsayyed","On Ikeda-Based Memristor Map with Commensurate and Incommensurate Fractional Orders: Bifurcation, Chaos, and Entropy",2023,"Fractal and Fractional","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85175178528&origin=inward",6,"2024-06-23 23:07:14","Article","10.3390/fractalfract7100728","2504-3110","https://api.elsevier.com/content/abstract/scopus_id/85175178528",7,10,,,0,0.00,0,1,1,"","",""
0,"T. Hamadneh","Novel Approach to Multi-Criteria Decision-Making Based on the n,mPR-Fuzzy Weighted Power Average Operator",2023,"Symmetry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168863472&origin=inward",7,"2024-06-23 23:07:14","Article","10.3390/sym15081617","2073-8994","https://api.elsevier.com/content/abstract/scopus_id/85168863472",15,8,,,0,0.00,0,1,1,"","",""
