Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"M. Azzeh","A soft computing approach for software defect density prediction",2024,"Journal of Software: Evolution and Process","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85150641940&origin=inward",7,"2024-06-23 23:04:58","Article","10.1002/smr.2553","2047-7481","https://api.elsevier.com/content/abstract/scopus_id/85150641940",36,4,,,1,1.00,1,1,1,"","",""
0,"Y. Alqasrawi","Analyzing the Role of Class Rebalancing Techniques in Software Defect Prediction",2023,"International Journal of Information Technology and Decision Making","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168967510&origin=inward",8,"2024-06-23 23:04:58","Article","10.1142/S0219622023500724","0219-6220","https://api.elsevier.com/content/abstract/scopus_id/85168967510",,,,,0,0.00,0,1,1,"","",""
14,"Y. Alqasrawi","Locally weighted regression with different kernel smoothers for software effort estimation",2022,"Science of Computer Programming","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167642321001374","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118477013&origin=inward",2,"2024-06-23 23:04:58","Article","10.1016/j.scico.2021.102744","0167-6423","https://api.elsevier.com/content/abstract/scopus_id/85118477013",214,,,,14,7.00,14,1,2,"","",""
2,"Y. Elsheikh","On obtaining a stable vote ranking methodology for implementing e-government strategies",2022,"Journal of King Saud University - Computer and Information Sciences","","https://api.elsevier.com/content/article/eid/1-s2.0-S1319157820305760","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099523498&origin=inward",5,"2024-06-23 23:04:58","Article","10.1016/j.jksuci.2020.11.035","1319-1578","https://api.elsevier.com/content/abstract/scopus_id/85099523498",34,6,3379,3392,2,1.00,2,1,2,"","",""
5,"Y. Alqasrawi","Natural scene image annotation using local semantic concepts and spatial bag of visual words",2016,"International Journal of Sensors, Wireless Communications and Control","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85040060066&origin=inward",3,"2024-06-23 23:04:58","Review","10.2174/2210327906666160606152043","2210-3279","https://api.elsevier.com/content/abstract/scopus_id/85040060066",6,3,1,21,5,0.63,5,1,8,"","",""
0,"Y. Alqasrawi","Bridging the gap between local semantic concepts and bag of visual words for natural scene image retrieval",2016,"International Journal of Sensors, Wireless Communications and Control","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85042665827&origin=inward",9,"2024-06-23 23:04:58","Review","10.2174/2210327906666160628082407","2210-3279","https://api.elsevier.com/content/abstract/scopus_id/85042665827",6,3,174,191,0,0.00,0,1,8,"","",""
2,"Y. Alqasrawi","Investigating the relationship between the distribution of local semantic concepts and local keypoints for image annotation",2014,"2014 14th UK Workshop on Computational Intelligence, UKCI 2014 - Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84912062204&origin=inward",6,"2024-06-23 23:04:58","Conference Paper","10.1109/UKCI.2014.6930165","","https://api.elsevier.com/content/abstract/scopus_id/84912062204",,,,,2,0.20,2,1,10,"","",""
20,"Y. Alqasrawi","Fusing integrated visual vocabularies-based bag of visual words and weighted colour moments on spatial pyramid layout for natural scene image classification",2013,"Signal, Image and Video Processing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879162036&origin=inward",1,"2024-06-23 23:04:58","Article","10.1007/s11760-011-0266-0","1863-1703","https://api.elsevier.com/content/abstract/scopus_id/84879162036",7,4,759,775,20,1.82,20,1,11,"","",""
0,"Y. Alqasrawi","Spatial pyramid local keypoints quantization for bag of visual patches image representation",2010,"Proceedings of the 2010 10th International Conference on Intelligent Systems Design and Applications, ISDA'10","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79851471235&origin=inward",10,"2024-06-23 23:04:58","Conference Paper","10.1109/ISDA.2010.5687083","","https://api.elsevier.com/content/abstract/scopus_id/79851471235",,,1270,1274,0,0.00,0,1,14,"","",""
5,"Y. Alqasrawi","Natural scene image recognition by fusing weighted colour moments with bag of visual patches on spatial pyramid layout",2009,"ISDA 2009 - 9th International Conference on Intelligent Systems Design and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77949509842&origin=inward",4,"2024-06-23 23:04:58","Conference Paper","10.1109/ISDA.2009.134","","https://api.elsevier.com/content/abstract/scopus_id/77949509842",,,140,145,5,0.33,5,1,15,"","",""
