Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"H.S. Hussein","Global solar radiation prediction using a combination of subtractive clustering algorithm and adaptive neuro-fuzzy inference system: A case study",2020,"Journal of Engineering Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088585466&origin=inward",1,"2024-06-23 22:49:53","Article","","1823-4690","https://api.elsevier.com/content/abstract/scopus_id/85088585466",15,3,1652,1669,3,0.75,3,1,4,"","",""
0,"N. Sharma","Identifying stock patterns and training Classifiers for suggesting investments",2019,"Proceedings of the 9th International Conference On Cloud Computing, Data Science and Engineering, Confluence 2019","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070638769&origin=inward",2,"2024-06-23 22:49:53","Conference Paper","10.1109/CONFLUENCE.2019.8776912","","https://api.elsevier.com/content/abstract/scopus_id/85070638769",,,273,277,0,0.00,0,1,5,"","",""
0,"H. Hussein","An optimal design methodology of adaptive neuro-Fuzzy inference system for energy load forecasting - Hail city case study (Saudi Arabia)",2018,"ACM International Conference Proceeding Series","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052515014&origin=inward",3,"2024-06-23 22:49:53","Conference Paper","10.1145/3234698.3234765","","https://api.elsevier.com/content/abstract/scopus_id/85052515014",,,,,0,0.00,0,1,6,"","",""
0,"H. Hussein","Feedforward, Hot and Cold Control System for Controlling Plastic Insulation Thickness in Manufacturing of Cable Products",2014,"Arabian Journal for Science and Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84893113469&origin=inward",4,"2024-06-23 22:49:53","Article","10.1007/s13369-013-0723-x","2193-567X","https://api.elsevier.com/content/abstract/scopus_id/84893113469",39,2,1399,1408,0,0.00,0,1,10,"","",""
