Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
7,"N.A. Albatayneh","Discriminate2Rec: Negation-based dynamic discriminative interest-based preference learning for semantics-aware content-based recommendation",2022,"Expert Systems with Applications","","https://api.elsevier.com/content/article/eid/1-s2.0-S0957417422004109","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127180206&origin=inward",3,"2024-06-23 22:49:04","Article","10.1016/j.eswa.2022.116988","0957-4174","https://api.elsevier.com/content/abstract/scopus_id/85127180206",199,,,,7,3.50,7,1,2,"","",""
44,"N.A. Albatayneh","Utilizing learners' negative ratings in semantic content-based recommender system for e-learning forum",2018,"Educational Technology and Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85040622100&origin=inward",1,"2024-06-23 22:49:04","Article","","1176-3647","https://api.elsevier.com/content/abstract/scopus_id/85040622100",21,1,112,125,44,7.33,44,1,6,"","",""
9,"N. Albatayneh","A semantic content-based forum recommender system architecture based on content-based filtering and latent semantic analysis",2014,"Advances in Intelligent Systems and Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84918508765&origin=inward",2,"2024-06-23 22:49:04","Article","10.1007/978-3-319-07692-8_35","2194-5357","https://api.elsevier.com/content/abstract/scopus_id/84918508765",287,,369,378,9,0.90,9,1,10,"","",""
