Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
18,"A.H. Alkhazaleh","Experimental investigation on thermal properties and fire performance of lauric acid/diphenyl phosphate/expanded perlite as a flame retardant phase change material for latent heat storage applications",2023,"Sustainable Energy Technologies and Assessments","","https://api.elsevier.com/content/article/eid/1-s2.0-S2213138823000516","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146555312&origin=inward",3,"2024-06-23 22:47:58","Article","10.1016/j.seta.2023.103059","2213-1388","https://api.elsevier.com/content/abstract/scopus_id/85146555312",56,,,,18,18.00,18,1,1,"","",""
8,"M. Hijjawi","Accelerated Arithmetic Optimization Algorithm by Cuckoo Search for Solving Engineering Design Problems",2023,"Processes","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85160938621&origin=inward",5,"2024-06-23 22:47:58","Article","10.3390/pr11051380","2227-9717","https://api.elsevier.com/content/abstract/scopus_id/85160938621",11,5,,,8,8.00,8,1,1,"","",""
8,"A.H. Alkhazaleh","Thermal and mechanical properties of cement based-composite phase change material of butyl stearate/isopropyl palmitate/expanded graphite for low temperature solar thermal applications",2022,"Journal of Energy Storage","","https://api.elsevier.com/content/article/eid/1-s2.0-S2352152X22005643","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127808207&origin=inward",6,"2024-06-23 22:47:58","Article","10.1016/j.est.2022.104547","2352-152X","https://api.elsevier.com/content/abstract/scopus_id/85127808207",50,,,,8,4.00,8,1,2,"","",""
21,"W. Almanaseer","A deep belief network classification approach for automatic diacritization of arabic text",2021,"Applied Sciences (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108005428&origin=inward",2,"2024-06-23 22:47:58","Article","10.3390/app11115228","2076-3417","https://api.elsevier.com/content/abstract/scopus_id/85108005428",11,11,,,21,7.00,21,1,3,"","",""
56,"H. Faris","Improving financial bankruptcy prediction in a highly imbalanced class distribution using oversampling and ensemble learning: a case from the Spanish market",2020,"Progress in Artificial Intelligence","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068831986&origin=inward",1,"2024-06-23 22:47:58","Article","10.1007/s13748-019-00197-9","2192-6352","https://api.elsevier.com/content/abstract/scopus_id/85068831986",9,1,31,53,56,14.00,56,1,4,"","",""
12,"R. Qaddoura","Dental radiography segmentation using expectation-maximization clustering and grasshopper optimizer",2020,"Multimedia Tools and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086045783&origin=inward",4,"2024-06-23 22:47:58","Article","10.1007/s11042-020-09014-1","1380-7501","https://api.elsevier.com/content/abstract/scopus_id/85086045783",79,29,22027,22045,12,3.00,12,1,4,"","",""
5,"H.M. Allawi","A greedy particle swarm optimization (GPSO) algorithm for testing real-world smart card applications",2020,"International Journal on Software Tools for Technology Transfer","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058413311&origin=inward",7,"2024-06-23 22:47:58","Article","10.1007/s10009-018-00506-y","1433-2779","https://api.elsevier.com/content/abstract/scopus_id/85058413311",22,2,183,194,5,1.25,5,1,4,"","",""
