Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"M. Al-Laham","Parameter Identification of a Multilayer Perceptron Neural Network using an Optimized Salp Swarm Algorithm",2023,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168801102&origin=inward",1,"2024-06-23 23:01:01","Article","10.14569/IJACSA.2023.01406130","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85168801102",14,6,1221,1232,4,4.00,4,1,1,"","",""
1,"A. Azzazi","A Knowledge-based Expert System for Supporting Security in Software Engineering Projects",2022,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124107470&origin=inward",2,"2024-06-23 23:01:01","Article","10.14569/IJACSA.2022.0130149","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85124107470",13,1,395,400,1,0.50,1,1,2,"","",""
1,"A.H. Khataibeh","A study approach for online marketing over social media",2019,"International Journal of Advanced Trends in Computer Science and Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078326145&origin=inward",3,"2024-06-23 23:01:01","Article","10.30534/ijatcse/2019/2081.52019","2278-3091","https://api.elsevier.com/content/abstract/scopus_id/85078326145",8,1,96,107,1,0.20,1,1,5,"","",""
